Week,Kickoff,Guest,Home,Pts_G,Pts_H
13,2023-08-26 18:00 CET,Fehervar Enthroners,Vienna Vikings,20,21
13,2023-08-26 19:00 CET,Munich Ravens,Milano Seamen,50,29
13,2023-08-27 13:00 CET,Barcelona Dragons,Paris Musketeers,9,50
13,2023-08-27 13:00 CET,Prague Lions,Cologne Centurions,9,37
13,2023-08-27 13:00 CET,Rhein Fire,Helvetic Guards,43,17
13,2023-08-27 16:25 CET,Frankfurt Galaxy,Hamburg Sea Devils,23,13
14,2023-09-02 16:00 CET,Vienna Vikings,Prague Lions,55,9
14,2023-09-02 19:00 CET,Raiders Tirol,Milano Seamen,42,27
14,2023-09-03 13:00 CET,Cologne Centurions,Paris Musketeers,12,40
14,2023-09-03 13:00 CET,Barcelona Dragons,Munich Ravens,0,55
14,2023-09-03 13:00 CET,Hamburg Sea Devils,Berlin Thunder,16,23
14,2023-09-03 16:25 CET,Rhein Fire,Frankfurt Galaxy,48,38
14,2023-09-03 16:25 CET,Helvetic Guards,Stuttgart Surge,19,47
14,2023-09-03 16:25 CET,Panthers Wroclaw,Fehervar Enthroners,35,6
97,2023-09-09 15:15 CET,Berlin Thunder,Frankfurt Galaxy,3,20
97,2023-09-10 14:15 CET,Panthers Wroclaw,Stuttgart Surge,14,37
98,2023-10-16 14:15 CET,Stuttgart Surge,Vienna Vikings,40,33
98,2023-10-17 14:15 CET,Frankfurt Galaxy,Rhein Fire,23,42
99,2023-10-24 15:30 CET,Stuttgart Surge,Rhein Fire,34,53
